Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Kalah,4,KOTA PADANG PANJANG (SUMATERA BARAT)  ,PARPOL,IR. RAFDI M. SYARIF,"AHMAD FADLY, S.PSI",L,L,54,41,SIPIL,SIPIL,0,0,3,0.250,0.202,0.300
Menang,4,KOTA PADANG PANJANG (SUMATERA BARAT)  ,PARPOL,FADLY AMRAN,DRS. ASRUL,L,L,30,59,SIPIL,SIPIL,0,0,2,0.167,0.357,0.250
Kalah,3,KOTA PARIAMAN (SUMATERA BARAT)  ,PARPOL,IR. H. MAHYUDDIN,"MUHAMAD RIDWAN, S.IP",L,L,57,40,SIPIL,SIPIL,0,0,2,0.167,0.202,0.200
Kalah,3,KOTA PARIAMAN (SUMATERA BARAT)  ,PARPOL,"DEWI FITRI DESWATI, S.PI",PABRISAL,P,L,49,45,SIPIL,SIPIL,0,0,2,0.167,0.093,0.250
Menang,3,KOTA PARIAMAN (SUMATERA BARAT)  ,PARPOL,"DR. GENIUS UMAR, S.SOS, M.SI","DRS. MARDISON MAHYUDDIN, MM",L,L,46,49,SIPIL,SIPIL,2,0,5,0.417,0.513,0.550
Menang,4,RIAU  ,PARPOL,"DRS. H. SYAMSUAR, M.SI",H. EDY NASUTION,L,L,64,57,SIPIL,TNI/POLRI,0,0,3,0.250,0.221,0.200
Kalah,4,RIAU  ,PARPOL,"MUHAMAD LUKMAN EDY, M.SI","HARDIANTO, SE",L,L,48,37,SIPIL,SIPIL,0,0,2,0.167,0.214,0.200
Kalah,4,RIAU  ,PARPOL,"DR. H. FIRDAUS, ST.MT","H. RUSLI EFFENDI, SE, S.PD.I, M.SI",L,L,58,51,SIPIL,SIPIL,0,0,2,0.167,0.179,0.215
Kalah,4,RIAU  ,PARPOL,"IR. H. ARSYADJULIANDI RAHMAN, MBA","H. SUYATNO, AMP",L,L,58,61,SIPIL,SIPIL,1,0,3,0.250,0.386,0.385
Kalah,3,INDRAGIRI HILIR (RIAU)  ,PARPOL,"H. ROSMAN MALOMO, SH, MH","MUSMULYADI, SS",L,L,58,43,SIPIL,SIPIL,2,0,3,0.250,0.259,0.244
Kalah,3,INDRAGIRI HILIR (RIAU)  ,PARPOL,"DR. H.M. RAMLI, SE, M.SI","DR. H. ALI AZHAR, S.SOS, MH",L,L,57,51,SIPIL,SIPIL,0,0,3,0.250,0.284,0.356
Menang,3,INDRAGIRI HILIR (RIAU)  ,PARPOL,"DRS. H. MUHAMMAD WARDAN, MP",H. SYAMSUDDIN UTI,L,L,57,64,SIPIL,SIPIL,1,0,4,0.333,0.429,0.378
Kalah,3,KERINCI (JAMBI)  ,PARPOL,"MONADI, S.SOS, M.SI","EDISON, SH",L,L,46,46,SIPIL,SIPIL,0,0,5,0.417,0.530,0.500
Menang,3,KERINCI (JAMBI)  ,PARPOL,"DR. H. ADIROZAL, M.SI",IR. H. AMI TAHER,L,L,57,55,SIPIL,SIPIL,1,0,2,0.167,0.155,0.233
Kalah,3,KERINCI (JAMBI)  ,PARPOL,"ZAINAL ABIDIN, SH, MH",ARSAL APRI,L,L,44,56,SIPIL,SIPIL,2,0,2,0.167,0.214,0.233
Kalah,3,MERANGIN (JAMBI)  ,PARPOL,"IR. H. AHMAD FAUZI, MT",SUJARMIN,L,L,52,43,SIPIL,SIPIL,0,0,5,0.417,0.311,0.371
Menang,3,MERANGIN (JAMBI)  ,PARPOL,"DR. H. AL HARIS, S.SOS., MH.","MASHURI, S.PD., MM.",L,L,45,60,SIPIL,SIPIL,1,0,3,0.250,0.261,0.286
Kalah,3,MERANGIN (JAMBI)  ,PARPOL,"DR. DRS. H. NALIM.SH.,MM.","DRS. H. ABDUL KHAFIDH.,MM.",L,L,58,57,SIPIL,SIPIL,0,2,4,0.333,0.429,0.343
Kalah,2,KOTA JAMBI (JAMBI)  ,PARPOL,"DRS. H. ABDULLAH SANI, M.PD.I","KEMAS ALFARIZI, SE",L,L,62,39,SIPIL,SIPIL,2,0,2,0.167,0.280,0.244
